Competitor,Angle Category,Hook Copy,Transcript,Visual Style,Nicho,Longevity Tier
Beleza Brasileira,Social Proof,O segredo do abdômen dos sonhos não é só o que você bebe,Pega a maldade da bandida Que faz um sexo bolado Tu vai tomando toda vida Hoje tu pode quebrar o barraco Olimpina com a nono grau Nas avenidas na Majuna,"Aqui está a análise em 6 linhas curtas:

1.  **Formato visual:** Aplicação de produto no corpo, com toque de lifestyle.
2.  **Iluminação:** Natural e orgânica, com boa luminosidade ambiente.
3.  **Foco corporal:** Produto sendo aplicado no abdômen (barriga).
4.  **Paleta de cores:** Brilhante, limpa e neutra com acentos de azul e amarelo.
5.  **Qualidade de produção:** UGC casual, mas com bom enquadramento e edição.
6.  **Elemento principal de atenção:** A modelo (foco nos abdominais) e a aplicação do creme.",Beleza,Performer
Growth Supplements,Benefit/Result,Não corra riscos com a sua saúde e seus resultados,"Existe um suplemento obrigatório pra quem quer mudar o corpo de verdade. E esse suplemento se chama creatina. Quer entender um pouco? Vem comigo. Creatina é combustível de força. Ela é quem te dá força extra pra mais repetições no seu treino. A nossa creatina é 100% pura, produzida com matéria-prima importada. E todos os laudos de qualidade são absolutamente aprovados. Pra você fazer a diferença mesmo, você precisa garantir o que funciona de verdade. Preço de fábrica, pureza, resultado no seu treino, ou seja, Growth. Clique aqui e garanta a sua creatina 100% original, 99,9% de pureza para a sua suplementação. Somos todos atletas, somos todos Growth.","Aqui está a análise do vídeo:

1.  **Formato visual:** Spokesperson talking head com apresentação de produto e legendas informativas.
2.  **Iluminação:** Controlada e artificial (tipo estúdio/ring light), focada no apresentador.
3.  **Ambiente:** Interior de casa ou estúdio com decoração moderna e clean.
4.  **Paleta de cores:** Vibrante, clean, com tons de verde-oliva, azul-celeste e vermelho da marca.
5.  **Qualidade de produção:** Estúdio profissional.
6.  **Elemento principal de atenção:** O apresentador (Renato Cariani) e as legendas de texto que reforçam a mensagem.",Wellness,Solid
Beleza Brasileira,Pain-to-Solution,"Se tem uma coisa que salva minha pele no inverno, é caprichar MUITO na hidratação","Se a tua pele fica parecendo uma lixa no inverno, esse vídeo é pra ti. É, amiga, chegou o frio e com ele chegou a pele ressecada, os lábios rachados e aquele aspecto sem vida, sabe? Mas calma que eu vou te contar o que salvou a minha pele. A primeira coisa é reforçar muito a hidratação. No frio eu tomo menos água, mas eu tento compensar tomando mais chá. A segunda coisa é o skincare mais nutritivo. A minha pele muda muito em dia frio, então eu foco em uma hidratação mais pesada. Inclusive eu tô usando essa pomada aqui no rosto e no lábio à noite. A terceira e principal dica, já que eu não abro mão de um banho quente, é usar óleo de banho ainda no banho. E eu tô amando usar esse da Beleza Brasileira, porque ele deixa a pele super macia, sem contar no cheirinho, e evita aquele ressecamento. E o pós-banho eu tô passando o hidratante e iogurte da Beleza Brasileira com algumas gotinhas do óleo nas regiões mais secas. Eu te garanto que esse triozinho aqui vai te deixar com a pele macia, iluminada e mega hidratada, mesmo no frio.",,Beleza,Performer
Creamy Skincare,Pain-to-Solution,O Limpador Antioleosidade da Creamy limpa profundamente sem deixar a pele ressecada ou sensibilizada,"Sabe aquele momento só seu em casa cuidando da pele com calma? A Cream virou o meu ritual favorito do dia. Esse é o Cream Anti-Oleosidade, um limpador com ácido salicílico, ácido mondélico e pré-bióticos. E ele controla a oleosidade até 24 horas. A textura dele é leve, fresquinha e em gel. Faz uma espuma suave, gostosa de espalhar, daquele jeito que dá até vontade de massagear o rosto. Enquanto eu aplico, o salicílico já começa a agir nos poros. O mandélico faz uma esfoliação delicada sem agredir e os prebióticos deixam a pele mais equilibrada. O resultado é uma limpeza profunda, menos brilho, menos cravinhos e a pele fica sequinha sem repuxar. Eu posso usar ele de manhã à noite sem irritar nada. A pele simplesmente fica leve, limpa e confortável. Se você também luta contra oleosidade e poros teimosos, coloca a cream no seu ritual.","Aqui está a análise:

1.  **Formato visual:** Aplicação de produto com contexto de rotina.
2.  **Iluminação:** Natural e orgânica, simulando luz diurna.
3.  **Foco na pele:** Textura realista visível.
4.  **Paleta de cores:** Fresco, verde-água e neutros.
5.  **Qualidade de produção:** Semi-profissional com toque autêntico.
6.  **Elemento principal de atenção:** O produto e seus benefícios para a pele.",Beleza,Solid
Plato,Product Experience,conjunto max que une estrutura e fluidez em um tom só 🤎,"Música Uau, que lançamento é esse? Difícil vai ser escolher uma corção Conjunto de matas, camisa e algodão E calça, pantalona Música Chique não amor, não pede comigo Alô, bem, tem noção que esse conjunto é apenas 239?","Aqui está a análise:

1.  **Formato visual:** UGC talking head, showcase de produto e lifestyle.
2.  **Iluminacao:** Misto (luz ambiente interna e artificial discreta).
3.  **Ambiente:** Interno (apartamento/casa moderna).
4.  **Paleta de cores:** Terrosos, neutros e pontos de cor.
5.  **Qualidade de producao:** Semi-profissional.
6.  **Elemento principal de atencao:** A influenciadora e o look apresentado.",Moda,Testing
Beleza Brasileira,Pain-to-Solution,Treino e alimentação são indispensáveis… mas olha esse truquezinho que aprendi com a Pesseguete pra acelerar o processo e ajudar a reduzir o aspecto da celulite 🍑🔥✨,"Oi Maria, nossa, vi que você perdeu muita celulite. Foi só treino e dieta mesmo? Só, só treino e dieta. Sério? Só treino e dieta? Sim, só treino e dieta. Só treino e dieta. Tá bom, viu? De vez em quando aí estude um tropezinho também. Como a Pesseguete faz pra ter uma pele tão lisinha e ter resultados tão rápidos? Ah não, ela percebeu que eu tava olhando. Relaxa, moranguete, já sei o que você tava olhando. Meu segredo pra ter o bumbum lisinho e turbinar meus treinos é usar bumbum cream.",,Beleza,Performer
Live!,Education,grafeno fresh pro 🤎,"Que eu estou no hiperfoco dos marrons da live, vocês já sabem. E agora, simplesmente, live lançou. A tecnologia que eu mais uso com a cor que eu mais gosto. Em um mesmo produto, a gente sabe. Que a live aquece nossos corações toda quinta-feira com novidades, a gente já sabe. Mas esse lançamento tá tudo. O grafeno é um tecido com uma estampa interna de live. Com as partículas de grafeno, tecnologia que usa o carbono pra distribuir o calor uniformemente durante os treinos intensos. Além disso, os shorts vêm com o bolsinho atrás e essa parte de gel pra não ficar subindo. Além do top, tem essa regatinha linda, já com o novo símbolo de live. E como se já não bastasse um look completo, ainda tem o manguito, olha que coisa mais linda. Também todo de grafeno e na mesma cor da roupa. E além de lindo e funcional, esse tecido é muito gostoso. Parece que ele gruda no corpo. E fica muito confortável. E aí, gostaram?","1.  **Formato visual:** UGC talking head e demonstração de produto em uso.
2.  **Iluminação:** Natural e orgânica, com luz solar forte entrando pela janela.
3.  **Ambiente:** Casa, com um sofá e painéis de madeira ao fundo.
4.  **Paleta de cores:** Terrosa, neutra e quente.
5.  **Qualidade de produção:** Semi-profissional, com edição dinâmica e bons takes.
6.  **Elemento principal de atenção:** A apresentação detalhada do produto (roupas de grafeno) e seus benefícios tecnológicos e estéticos.",Wellness,Long-Runner
Creamy Skincare,Pain-to-Solution,"O Acne 5D da Creamy foi desenvolvido para atuar nas principais causas da acne: excesso de oleosidade, obstrução dos poros, inflamação e proliferação bacteriana","Não trate a sua acne. A acne, ela não é sujeira, é uma doença multifatorial causada por quatro pilares obrigatórios. Sem todos eles, ela não acontece. Primeiro a hiperceborreia, que é o excesso de produção de cebo, oleosidade pela pele, em seguida pela hiperqueratinização, que gera o entupimento do poro. E isso causa uma infestação bacteriana de bactérias ruins, o que causa a inflamação que a gente consegue ver. E pra resolver isso, a ciência, ela se baseia em ativos como ácido salicílico, ácido glicólico, ácido sucínico, niacinamida e zinco-PCA. Mas comprar tudo isso separado não é uma boa ideia e ainda pode sair caro. E prejudicar a sua pele. Por isso que eu gosto de ativos que já combinam vários ativos na dose e concentração certa, como o Acne Defense 5D, que eu tenho testado já há alguns meses. Mas eu não vou deixar você pagar o preço cheio de prateleira. Use o meu cupom 1RAMIGUEL para ganhar até 15% de desconto. Todas as informações estão na agenda deste vídeo. Ah, se você quer que eu mande pra você no inbox junto com o link do produto, comenta quero que eu envio pra você. Beijo!","1.  Formato visual: UGC talking head, aplicação de produto, antes-depois, e animação explicativa.
2.  Iluminação: Estúdio/Ring Light, controlada para máxima clareza e destaque.
3.  Foco na pele: Textura realista visível, especialmente nos close-ups de acne.
4.  Paleta de cores: Limpa, moderna, com tons vibrantes nas animações.
5.  Qualidade de produção: Semi-profissional a profissional, com animação detalhada.
6.  Elemento principal de atenção: A explicação científica e a transformação da pele (antes-depois).",Beleza,Performer
Plato,Benefit/Result,calça skinny resinada que define a silhueta com personalidade 🖤,"Uau! Adivinha quem tá de volta no nosso site? Isso mesmo, amor! A calça resinada de apenas 179 mais viralizada dessa internet. Tô vindo aqui montar um look pra vocês com uma tonalidade um pouco mais clara. Adicionei uma blusa em tule, que também faz parte da nossa curadoria. Um cinto em couro legítimo no croco. Vou adicionar uma bota cano longo. E pra fechar a composição, um ponche pra te deixar bem quentinha nessa nova temporada. Se você amou, corre pra garantir que a nossa calça resinada é apenas 179. Temos mais de 5 cores disponíveis. Porém, esgota tudo muito rápido, tá? Um beijo!","Aqui está a análise do vídeo:

1.  **Formato visual:** Showcase de produto / Lifestyle
2.  **Iluminacao:** Natural/Orgânico. A luz suave e difusa do ambiente sugere luz natural do fim de tarde ou manhã, sem fontes artificiais visíveis.
3.  **Ambiente:** Externo.
4.  **Paleta de cores:** Terrosos e neutros.
5.  **Qualidade de producao:** Semi-profissional.
6.  **Elemento principal de atencao:** A mulher e o look montado.",Moda,Testing
Live!,Education,Novo aplicativo LIVE,"Estou aqui fazendo minhas compras no aplicativo da Live. Aliás, você sabia que a Live agora tem um aplicativo para facilitar a nossa vida e as nossas escolhas? Mais do que comprar é fazer parte de uma nova jornada.","Aqui está a análise:

1.  **Formato visual:** UGC talking head / produto em uso / lifestyle fitness.
2.  **Iluminação:** Natural/Orgânico.
3.  **Ambiente:** Casa (com área externa/varanda integrada à natureza).
4.  **Paleta de cores:** Tons neutros, terrosos e pastéis.
5.  **Qualidade de produção:** Semi-profissional com estética UGC.
6.  **Elemento principal de atenção:** A modelo e as peças de activewear em uso.",Wellness,Testing
Creamy Skincare,Pain-to-Solution,Uma rotina anti-idade eficaz começa com os ativos certos,"Eu tenho 40 anos e essa é a rotina de skincare que eu mantenho pra deixar a minha pele saudável sempre. Então se você é 40 a mais, fica nesse vídeo. A Creamy tem um kit anti-idade. Ele tem três passos ideais pra você incluir na sua rotina de skincare. Ah, e usa o nosso cupom de jardão no site pra ganhar um desconto. O iCreamy é um creme de área dos olhos multifuncional. Além de peptídeos pra afirmar essa área dos olhos, ele vai ter ativos clareadores. A vitamina C Gold da Creamy você coloca na rotina da manhã. Ela é um potente antioxidante que tem ativos clareadores pra deixar a pele uniformizada. Já o meu queridinho retinal é um creme renovador celular que vai estimular o seu colágeno. Você vai inserir ele na rotina noturna após a limpeza da sua pele de duas a três vezes na semana. Depois dessa aula, ficou fácil manter a sua pele 40 a mais incrível do jeito que você sempre sonhou.","Aqui está a análise:

1.  **Formato visual:** UGC talking head e aplicação de produto.
2.  **Iluminação:** Mista, com luz suave e uniforme, realçando o rosto.
3.  **Foco na pele:** Estilizada/filtrada, com textura muito lisa e uniforme.
4.  **Paleta de cores:** Brilhante, clean, neutra.
5.  **Qualidade de produção:** Semi-profissional, com imagem nítida e boa luz.
6.  **Elemento principal de atenção:** O rosto do apresentador e os produtos em destaque.",Beleza,Long-Runner
Creamy Skincare,Benefit/Result,"Acalme sua pele com o Calming Cream Creamy: hidratação intensa, menos vermelhidão e conforto imediato todos os dias","Esse gel creme, ele acalma, hidrata e não deixa tudo melecado, sabe? Rapidinho o passo, mano. É só passar isso aqui. Daqui a pouquinho, uns minutinhos, a irritação já foi embora. É bom demais. Ó, já foi. Rapidinho. Quer acabar com esse incômodo também? Procura o Calming Cream da Creme.","Aqui está a análise do vídeo:

1.  **Formato visual:** UGC talking head / aplicação de produto.
2.  **Iluminação:** Natural/Orgânico.
3.  **Foco na pele:** Textura realista visível.
4.  **Paleta de cores:** Neutra e quente.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** O homem e a demonstração do produto.",Beleza,Performer
Creamy Skincare,Pain-to-Solution,"Conheça agora o sérum antiacne de alta performance que desobstrui poros, reduz cravos e espinhas e controla a oleosidade em um só passo","Um cuidado rápido que me trouxe resultado na minha pele é esse lançamento da Creamy, o Cero Acne Defense 5D. Eu senti diferença principalmente pelo efeito secativo dele nas espinhas ativas que eu estava na minha pele, mas também na redução de acne na pele toda. Comecei testando um dia e dei dois dias de folga para ver como minha pele ia reagir. Não tive nenhum problema, nem ressecamento, e agora eu uso ele diariamente. E nisso eu notei uma melhora, principalmente na região do meu nariz, Que os fóruns estão mais fechadinhos Tem alguma aparência melhor O brilho também está controlado A oleosidade E até a textura da minha pele está mais gostosa São vários ativos que colaboram para todos esses benefícios E se eu fosse você, ia agora mesmo para o site Para garantir essas 5 defesas contra a acne Para a sua pele Aliás, para a sua rotina",,Beleza,Long-Runner
Creamy Skincare,Pain-to-Solution,"Se poros visíveis e oleosidade te incomodam, o novo Pore Refiner foi feito para isso","Tem pele que não precisa de mais cobertura, precisa de menos textura. Muitas vezes você olha no espelho e não é acne, é só uma pele que nunca parece lisa, sempre com relevo, uma textura que incomoda. E aí muita gente tenta resolver com maquiagem, mas a textura continua lá. Quando a queixa é esse micro relevo, poro mais evidente, eu gosto de focar em refinamento, melhorar a textura da pele no dia a dia. E o Pore Refiner da Creamy entra perfeitamente nisso, porque ajuda a manter os poros mais desobstruídos e a pele com um toque mais uniforme. Menos relevo, mais pele lisa de verdade.","Aqui está a análise:

1.  **Formato visual:** UGC talking head / aplicação de produto.
2.  **Iluminação:** Natural/Orgânico – a luz é brilhante e uniforme, sem efeitos de estúdio visíveis.
3.  **Foco na pele:** Textura realista visível (poros e micro-relevos são mostrados).
4.  **Paleta de cores:** Vibrante, clara, pastel.
5.  **Qualidade de produção:** UGC casual (parece feito em casa com boa qualidade de celular).
6.  **Elemento principal de atenção:** O produto e sua aplicação para refinar a textura da pele.",Beleza,Long-Runner
Beleza Brasileira,Pain-to-Solution,Não compre essa dupla: BB Oil e Antiestrias se vc não quer 👀👇🏻,Música,,Beleza,Performer
Live!,Offer/Urgency,Descontos Progressivos de Até 40% Off,E aí,"Aqui está a análise do vídeo:

1.  **Formato visual:** Lifestyle fitness com foco no produto em uso.
2.  **Iluminação:** Estudio/Ring Light, luz suave e uniforme.
3.  **Ambiente:** Estudio com fundo neutro.
4.  **Paleta de cores:** Verde menta, neutros.
5.  **Qualidade de produção:** Estúdio profissional.
6.  **Elemento principal de atenção:** A modelo em vestuário esportivo.",Wellness,Killed
Beleza Brasileira,Benefit/Result,Resultados reais exigem constância e as ferramentas certas,"Amigas, quem quer ficar com essa barriga? Barriga seca, magras, magras... Vocês vão ter que comprar esse creme aqui, ó. Eu amo esse creme. É claro, né, amigas? Aliado de dieta e treino, não é só o creme. Não vamos se iludir também num nível assim extremo. Mas ele me ajuda demais em questão de inchaço. Às vezes a gente come algum alimento que deixa a gente inchada. inchada, enfim. Até se eu não como nada, no outro dia eu já sou viciada, eu não consigo acordar e não fazer a minha drenagem usando o Barriguinha Cream. E eu achei ele aqui no TikTok Shop por menos de R$100. Sim, amiga, pasmem, menos de R$100. Tá compensando demais. Então eu vou aproveitar e fazer o meu estoque e vou deixar o carrinho laranja pra você também fazer o seu.",,Beleza,Performer
Insider Store,Product Experience,Por que a Insider é a preferida dos CEOs,"Como assim o uniforme da sua empresa vira pijama em um mês? É comum, mas não deveria acontecer. Talvez esses líderes não saibam que existe uma área da Insider só para empresas. O Insider Business é o nosso serviço B2B com atendimento sob medida e focado em trazer bem-estar para a sua equipe e custa benefício para o seu negócio. A qualidade, tecnologia e durabilidade que você já conhece como consumidores agora fazem qualquer funcionário querer vestir a camisa da sua empresa. A personalização está disponível na Tag T-Shirt, na Polo ou em qualquer peça que faça sentido para sua necessidade. Você pode se juntar ao Bradesco, XP e outros empreendimentos que estão à frente do mercado. Seja qual for o tamanho da sua empresa, basta entrar em contato para dar o próximo passo.","Aqui está a análise do vídeo:

1.  **Formato visual:** Showcase de produto & Lifestyle.
2.  **Iluminação:** Mista - Luz de estúdio inicial e luz ambiente profissionalmente controlada nos cenários de evento.
3.  **Ambiente:** Estúdio (abstrato) e ambiente interno de evento/feira.
4.  **Paleta de cores:** Neutra, moderna, com toques vibrantes.
5.  **Qualidade de produção:** Estúdio profissional.
6.  **Elemento principal de atenção:** O movimento suave do tecido preto e a apresentação das peças de roupa em destaque.",Moda,Long-Runner
Plato,Benefit/Result,a saia longa de franjas que transforma o guarda-roupa 🎀,"A saia mais viralizada da Platô de R$179,00, tá? De volta. Nas cores preta, cherry, lindíssima, cinza. E também a marrom que eu já coloquei aqui no meu look do dia. E vou te falar, se eu fosse você, corria. Clica nesse link aqui pra garantir. Porque com esse valor de R$179,00, nossa, isso aqui vai voar no nosso site. Você vai ficar sem a sua. Depois não diga que eu não avisei.","Aqui está a análise:

1.  **Formato visual:** Showcase de produto (talking head).
2.  **Iluminação:** Mista, controlada para realçar o produto.
3.  **Ambiente:** Interno, em sala de estar/jantar moderna.
4.  **Paleta de cores:** Neutra, terrosa, com toques de vinho.
5.  **Qualidade de produção:** Semi-profissional, com imagem nítida.
6.  **Elemento principal:** A saia de franjas e a energia da apresentadora.",Moda,Long-Runner
Creamy Skincare,Pain-to-Solution,"O Ácido Lático da Creamy promove uma esfoliação suave, ajudando a remover células mortas, melhorar a textura e devolver o viço da pele sem agredir","Se você já tentou usar todos os tipos de ácido pra tratar a sua pele, ela sempre fica vermelha ou irritada, tá na hora de você testar isso aqui. E ele é o ácido lático da Creamy, ideal pra peles sensíveis. Então se você quer melhorar linhas finas, textura de pele, poros dilatados, e além disso, trazer um vício pra sua pele sem irritar, o ácido lático é a solução. Ele também tem linhas cinamida na composição, que vai ajudar com as manchinhas. Você vai utilizar na rotina noturna, após a limpeza da pele, com sabonete glicerinado, insere o ácido lático de duas a três vezes na semana, aumenta gradativamente o uso conforme a sua pele tolerar, e é só hidratar com o Calming Cream. E pronto, no outro dia muita proteção solar, viu? Agora corre no site da Creamy, usa o nosso cupom Jardel e vem viver essa nova era dos ácidos sem irritação. Tchau!","Aqui está a análise:

1.  **Formato visual:** UGC talking head com aplicação de produto e overlays informativos.
2.  **Iluminação:** De estúdio ou ring light, brilhante e uniforme.
3.  **Foco na pele:** Textura da pele estilizada/filtrada, com acabamento suave.
4.  **Paleta de cores:** Branco, azul, amarelo vibrante.
5.  **Qualidade de produção:** Estúdio profissional.
6.  **Elemento principal de atenção:** O rosto expressivo do apresentador e o produto amarelo.",Beleza,Long-Runner
Plato,Benefit/Result,a saia longa de franjas que transforma o guarda-roupa 🎀,"Mais de 4 mil unidades entregues em todo o Brasil dessa saia frangias, que é um fenômeno na platô. E ó, ela tá de volta por aqui de apenas 179. E olha que composição chique, não amor? Repete comigo. Além que já veio parar no meu look do dia, hoje tá uma temperatura muito agradável. E o que é que eu adicionei aqui? O nosso tricô manga longa bufante. Vou tirar a bolsa só pra mostrar os detalhes. de apenas R$149,00. E a nossa saia, amor, que olha os detalhes dessa saia, olha esse movimento. E além de utilizar ela na versão inverno, é uma saia que comporta muito vocês utilizarem ela também em uma versão meia estação, verão. Então, assim, é aquela peça coringa no seu guarda-roupa. Se você amou, já clica aqui agora, porque essa reposição é muito limitada, esgota em minutos.","Aqui está a análise do vídeo:

1.  **Formato visual:** UGC talking head e showcase de produto com estilo lifestyle.
2.  **Iluminação:** Misto. Predominantemente luz natural suave de uma janela, complementada por iluminação interna quente.
3.  **Ambiente:** Interno, em uma sala de estar/jantar moderna.
4.  **Paleta de cores:** Neutros, terrosos e bordô.
5.  **Qualidade de produção:** UGC casual.
6.  **Elemento principal de atenção:** A apresentadora e o movimento da saia de franjas.",Moda,Solid
Growth Supplements,Education,A Creatina Creapure® da Growth é o padrão ouro mundial em pureza e eficiência,"Você, quer economizar comprando uma creatina com selo de pureza Criapuri? Um kit de creatina que você pode dividir com a galera, ainda mais pagando menos por ela. Todo mundo sai ganhando, e é claro, mais desempenho e energia, com pureza alemã, direto da fábrica e com economia de verdade. Clique agora no link e garanta o seu kit de creatina Criapuri da Grow.","Aqui está a análise:

1.  **Formato visual:** Talking head com gráficos animados e apresentação do produto.
2.  **Iluminação:** Iluminação de estúdio profissional, destacando o apresentador com luzes de neon no fundo.
3.  **Ambiente:** Estúdio com cenário temático que remete a um ambiente industrial ou de fábrica.
4.  **Paleta de cores:** Roxa, neon e contrastante.
5.  **Qualidade de produção:** Estúdio profissional de alta qualidade.
6.  **Elemento principal de atenção:** O apresentador carismático e a interatividade dos gráficos.",Wellness,Solid
Live!,Offer/Urgency,Descontos Progressivos de Até 40% Off,E aí,"Aqui está a análise:

1.  **Formato visual:** Modelagem de produto em uso (activewear fitness).
2.  **Iluminação:** Estúdio, difusa e uniforme, com luz de preenchimento.
3.  **Ambiente:** Estúdio com fundo branco/cinza claro.
4.  **Paleta de cores:** Neutros e tons pastel de verde.
5.  **Qualidade de produção:** Estúdio profissional.
6.  **Elemento principal de atenção:** A modelo e o vestuário fitness.",Wellness,Killed
Beleza Brasileira,Pain-to-Solution,Esse treino de posterior e glúteo do @personal,"Vem comigo pra mais um treinão de posterior glúteo. E pra esse já se arruma, coloca um look bonito porque vai precisar desse incentivo. E vocês não acharam que eu ia esquecer do Bumum Cream, né? Eu uso esse creme absolutamente antes de qualquer treino de posterior glúteo. Ele ajuda a prevenir estria, auxilia na redução da celulite e ainda tem um efeito termogênico maravilhoso de pré-treme. Então já passa logo o seu creme e vamos pra mobilidade que é muito importante fazer antes de qualquer treino. Eu gosto de fazer sem precisar do vídeo e repito mais ou menos 15 vezes cada perna. No primeiro bloco temos agachamento sumô. Vão ser 4 séries fazendo isometria de 10 segundos. Mais 12 repetições com peso. E depois, mais 12 repetições sem o peso. E não esquece do step pra dar amplitude. Terminou? Já vamos pro leg press. Aqui vão ser 15 repetições máxima amplitude. Eu até gosto de colocar um colchonete e um step atrás. Pra garantir essa amplitude maior. E com o Yuri, são sempre 4 séries. Terceiro bloco, cadeira flexora, 4 séries. Aqui vamos fazer um drop set. 8, diminui a carga, mais 8. Diminui a carga, mais 8. Eu sempre sinto que pega demais. O último bloco é pra fechar com chave de ouro. O Yuri fez essa invenção de moda, mas acreditem, o resultado é real. Elevação pélvica, 15 repetições unilaterais, pego peso e mais 15 repetições bilaterais. Treino finalizado e me conta nos comentários o que você achou.",,Beleza,Performer
Beleza Brasileira,Offer/Urgency,🏷️BIAALMEIDA (10% off em todo site) @bumbumcream @belezabrasileirabr,Música Música,,Beleza,Performer
Creamy Skincare,Pain-to-Solution,O Limpador Antioleosidade da Creamy limpa profundamente sem deixar a pele ressecada ou sensibilizada,"Se você tem pele oleosa, esse sabonete da Creamy provavelmente já passou pela Sofairul. Então, eu resolvi trazer a experiência real da minha pele usando ele. Eu tenho a pele seca e sensível, então eu não uso ele todos os dias. Mas quando eu quero uma limpeza mais profunda, especialmente depois de um dia quente ou de maquiagem, ele salva. O que eu mais gosto nele é que ele limpa muito bem, sem deixar aquela sensação de ir repuxando, sabe? Ele é em gel e faz uma esfuma suave e dá aquela sensação de frescor. Pra minha pele seca, eu sempre venho com um bom hidratante depois. Mas se sua pele é oleosa, ele já vai equilibrar muito bem sem pesar. Se você tem pele oleosa ou gosta daquela limpeza mais profunda de vez em quando, esse sabonete da Creamy realmente entrega. E o melhor, sem fragrância e sem irritar.","Aqui está a análise:

1.  **Formato visual:** UGC talking head com aplicação de produto.
2.  **Iluminação:** Principalmente natural, vinda de uma janela, criando sombras orgânicas.
3.  **Foco na pele:** Textura realista visível.
4.  **Paleta de cores:** Fresca e natural.
5.  **Qualidade de produção:** Semi-profissional com toque de UGC.
6.  **Elemento principal de atenção:** A pele radiante da modelo e o produto.",Beleza,Solid
Beleza Brasileira,Benefit/Result,O par perfeito existe,"Tu já encontrou teu pá perfeito pro dia 12? Porque, ó, Bumbum Queen encontrou barriguinha, tá, gente? Sim. Beleza Brasileira lançou uma promoção exclusiva pra essa data, que você comprando o Bumbum Queen, a barriguinha vai junto de graça. Não tem como separar essa duplinha aqui, não. Então corre, aproveita essa promoção, que ainda é a acumulativa com o meu cupom ANDREZA10, que ainda te dá mais de 10% de desconto. Vai pagar o Bumbum Queen e vai levar a barriguinha aí de graça. Duplinha, gente, perfeita. Só comprem, depois voltem aqui pra me contar o que vocês acharam.","Aqui está a análise do vídeo:

1.  **Formato visual:** UGC talking head, com a apresentadora mostrando produtos.
2.  **Iluminação:** Natural/Orgânica – luz suave e difusa, provavelmente de uma janela.
3.  **Foco corporal:** Demonstração geral dos cremes corporais, sem aplicação explícita.
4.  **Paleta de cores:** Vibrante, amarela, azul clara, com fundo neutro.
5.  **Qualidade de produção:** UGC casual (parece gravado em ambiente doméstico, mas bem iluminado e editado).
6.  **Elemento principal de atenção:** A apresentadora e os dois produtos de creme que ela mostra.",Beleza,Testing
Plato,Benefit/Result,o conjunto de cotele que dispensa complementos 🤎,"Uau! Que reposição repaginada é essa, amor! Conjunto lindíssimo em coteleiro de calça, pantalona e max camisa. E olha essa composição que eu montei aqui. Chique não, amor? Repete comigo. Além, o cinto que vocês podem utilizar aqui na cintura eu adicionei como se fosse uma gravata. Afinal, ele é no lenço, então fica lindíssimo pra vocês utilizarem isso daqui de mil formas, tá? Ele já vai junto no conjunto. Apenas 259. Se você amou, corre. Clica aqui, porque tem mais de 5 cores esperando no site. Porém, os nossos lançamentos são muito limitados. Ó, depois não diga que eu não avisei, hein?",,Moda,Performer
Plato,Lifestyle/Aspiration,jaqueta jeans oversized que fecha qualquer produção com atitude 🖤,"Quem disse coleção nova? Saindo do forno. Beijo de banheiro, perfume de mar Me pega de jeito, me prende no laço, eu adoro E ao todo tá voar Beijo de banheiro, perfume do mar Me pega de jeito, me prende no laço, eu adoro Dentro da caminhonete, embaixo do chapéu de balha O chicote estrala, o chicote estrala Quando acaba o rodeia e começa a cavalgar.","Aqui está a análise:

1.  **Formato visual:** Showcase de produto / Lifestyle (GRWM)
2.  **Iluminação:** Misto – Luz natural de janela combinada com iluminação interna quente e pontual.
3.  **Ambiente:** Interno (apartamento/casa moderna).
4.  **Paleta de cores:** Neutra, preta, cinza, tons terrosos.
5.  **Qualidade de produção:** Semi-profissional (bem planejado e executado).
6.  **Elemento principal de atenção:** A mulher/influencer e as peças de roupa.",Moda,Solid
Creamy Skincare,Pain-to-Solution,Conheça o Ceramide Skin Repair,"Sua pele tá descamando, ressecada, queimada do sol ou precisando se recuperar depois de um procedimento estético como laser ou peeling, que foi o meu caso, preciso te apresentar o que salvou a minha pele. O Cera Mais Skin Repair é um balbo multireparador com uma tecnologia Sica Recovery. A textura dele é perfeita, não é oleosa, não é comedogênica, então eu que tenho acne posso usar tranquilamente. Outra coisa que eu amei fazer com ele foi duas vezes na semana, máscara noturna. No dia seguinte a minha pele acorda assim, ó Isso daqui não é base, gente Isso daqui é a minha pele que tá um babado","Aqui está a análise:

1.  **Formato visual:** UGC talking head, aplicação de produto, antes-depois.
2.  **Iluminação:** Natural/Orgânico.
3.  **Foco na pele:** Textura realista.
4.  **Paleta de cores:** Clean, branca, neutra.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** A apresentadora e o produto, com o resultado de ""pele de vidro"".",Beleza,Solid
